Taxta	Type
E14	E
UK15	UK
U21	U
UK16	UK
K27	K
UK13	UK
UK17	UK
T24	T
U34	U
U35	U
U46	U
K42	K
UK25	UK
UK10	UK
K16	K
UK1	UK
T17	T
K34	K
T58	T
K38	K
UK3	UK
U2	U
U38	U
UK9	UK
K40	K
T20	T
T53	T
T54	T
K44	K
UK5	UK
T5	T
E3	E
E55	E
E32	E
E46	E
T35	T
T6	T
T40	T
UK2	UK
UK11	UK
K18	K
K20	K
U28	U
U45	U
U36	U
K26	K
U25	U
U15	U
E18	E
U44	U
U20	U
U26	U
U7	U
U8	U
U55	U
U32	U
U39	U
U3	U
K23	K
K21	K
UK20	UK
U14	U
U29	U
U42	U
UK7	UK
U30	U
U4	U
U37	U
K7	K
U57	U
E61	E
E62	E
UK14	UK
E1	E
E43	E
E13	E
E20	E
E56	E
E50	E
E57	E
E39	E
E40	E
E58	E
E53	E
T25	T
E49	E
E38	E
E59	E
E54	E
E12	E
E33	E
E34	E
E60	E
E4	E
E42	E
E15	E
E2	E
E36	E
E19	E
E45	E
E48	E
E5	E
E41	E
E6	E
E35	E
E44	E
E37	E
E29	E
E17	E
E22	E
E21	E
E24	E
E25	E
E26	E
E31	E
E27	E
E30	E
T42	T
T49	T
T46	T
T56	T
K24	K
E52	E
E16	E
E51	E
E47	E
K25	K
T44	T
T10	T
T51	T
T52	T
T41	T
T43	T
T47	T
T38	T
T1	T
T27	T
T3	T
K31	K
T36	T
T2	T
T13	T
K30	K
T50	T
K33	K
T30	T
T4	T
T16	T
T14	T
UK8	UK
UK4	UK
T48	T
T12	T
T7	T
T26	T
T21	T
T55	T
T34	T
T18	T
T11	T
T32	T
T37	T
E28	E
E63	E
T33	T
T29	T
T31	T
T15	T
T45	T
T8	T
T57	T
K39	K
U22	U
K15	K
K45	K
UK23	UK
K14	K
UK24	UK
K4	K
UK6	UK
U40	U
U27	U
K13	K
UK18	UK
U24	U
K10	K
U12	U
U49	U
U19	U
U6	U
U17	U
K2	K
U13	U
U23	U
U50	U
K11	K
K3	K
U58	U
K12	K
U41	U
U9	U
U11	U
U43	U
U52	U
U16	U
K29	K
T23	T
U31	U
K41	K
U18	U
U33	U
K43	K
U10	U
K36	K
U51	U
U53	U
K32	K
T22	T
K1	K
T19	T
K6	K
T9	T
U48	U
UK19	UK
UK21	UK
K17	K
K37	K
U5	U
K9	K
U56	U
UK12	UK
K28	K
U1	U
K35	K
K8	K
UK22	UK
